Nome da unidade|Número da nota fiscal|Nome|CNPJ|Produto|Descrição|valor|Arquivo
ANHANGUERA|20|SUPERMERCADO MIRALHA CAMARGO LTDA|07640211000308|ERP-402414|MAT INSET PROMO GT33 MULTI INSETICIDA 12X400ML|581,81|caminho_do_arquivo
ANHANGUERA|20|SUPERMERCADO MIRALHA CAMARGO LTDA|07640211000308|ERP-402416|MAT INSET PROMO GT33 MULTI EUCALIPTO 12X400ML|193,94|caminho_do_arquivo
ANHANGUERA|20|SUPERMERCADO MIRALHA CAMARGO LTDA|07640211000308|ERP-402415|MAT INSET PROMO GT33 MULTI CITRONELA 12X400ML|64,65|caminho_do_arquivo
ANHANGUERA|20|SUPERMERCADO MIRALHA CAMARGO LTDA|07640211000308|ERP-402417|MAT INSET PROMO GT33 MULTI SEM CHEIRO 12X360ML|258,58|caminho_do_arquivo
ANHANGUERA|81|WIPER BRASIL COM E DISTRIB DE PROD DE LIMP LTDA ME|13365468000121|ERP-5050|DETERGENTE LAVA LOUCAS MINUANO MACA 24X500ML|134,5|caminho_do_arquivo
ANHANGUERA|116|TMV COMERCIO DE FLORES LTDA ME|23279493000146|ERP-654843|PROMOCIONAL;ARRANJO FLORES;NATURAL;C/ ROSAS|790|caminho_do_arquivo
ANHANGUERA|364|PACK SUPPLY COMERCIO DE SUPRIMENTOS LTDA ME|19215521000194|ERP-41752|FITA ADESIVA POLIPROP;TRANSP;LARG 45;ROLO 50M;S/IMPRES|356,4|caminho_do_arquivo
ANHANGUERA|1445|GRAFICA MAXPRINTER LTDA ME|12654313000142|ERP-663962|BRINDES;SACOLA;PLASTICO;280X270MM|1474|caminho_do_arquivo
ANHANGUERA|1850|PONTUAL LABEL SOLUCOES GRAFICAS EIRELI EPP|22730736000158|ERP-190986|ETIQUETA AUTO-ADES;BOPP;RET;40X60MM;BRANCA;RL 2000 ET|2243,75|caminho_do_arquivo
ANHANGUERA|1850|PONTUAL LABEL SOLUCOES GRAFICAS EIRELI EPP|22730736000158|ERP-205201|RIBBON;P/ IMPRESSORA;PT;104MM;ROLO 450M;3M/CERA 5550E 104MM|349|caminho_do_arquivo
ANHANGUERA|2871|RIBAPE PECAS PARA EMPILHADEIRAS E SERVICOS LTDA|01848905000189|ERP-31579|AGUA DESTILADA;FRASCO 1L|225|caminho_do_arquivo
ANHANGUERA|2883|LAS TRES COM DE MATER DE MERCHAND E SERV PROM LT M|03771626000190|ERP-151531|PROMOCIONAL;DISPLAY ARAMADO BRANCO;315X195X382MM|6660|caminho_do_arquivo
ANHANGUERA|2892|LAS TRES COM DE MATER DE MERCHAND E SERV PROM LT M|03771626000190|ERP-151531|PROMOCIONAL;DISPLAY ARAMADO BRANCO;315X195X382MM|13320|caminho_do_arquivo
ANHANGUERA|4485|MERCEARIA CHAMA LTDA|03205493000518|ERP-401594|CONDICIONADOR OX RECONSTRUCAO 12X240ML|114,07|caminho_do_arquivo
ANHANGUERA|7487|ABILITA INDUSTRIA E COMERCIO LTDA ME|83194753000102|ERP-661714|BRINDES;CAMISA;100ALGODAO;UNISEX;UNICO|10560|caminho_do_arquivo
ANHANGUERA|7488|ABILITA INDUSTRIA E COMERCIO LTDA ME|83194753000102|ERP-661714|BRINDES;CAMISA;100ALGODAO;UNISEX;UNICO|2278|caminho_do_arquivo
ANHANGUERA|15291|SUPERMERCADO SANTA JULIA LTDA ME|08831227000190|ERP-402379|SHAMPOO OX PROTEINS RECONSTRUCAO PROFUNDA PACK C/03 240ML|22,19|caminho_do_arquivo
ANHANGUERA|15291|SUPERMERCADO SANTA JULIA LTDA ME|08831227000190|ERP-402601|SHAMPOO OX REPARACAO PACK C/ 03 240ML|22,19|caminho_do_arquivo
ANHANGUERA|15291|SUPERMERCADO SANTA JULIA LTDA ME|08831227000190|ERP-402375|CONDICIONADOR OX OILS NUTRICAO INTENSA PACK C/03 240ML|29,11|caminho_do_arquivo
